status,from,symbol,open,high,low,close,volume,afterHours,preMarket
OK,2021-05-07,ANEB,7.38,7.48,6.72,7.1,1314779.0,6.85,7.38
OK,2021-05-10,ANEB,7.0,7.2,7.0,7.05,242354.0,7.05,7.05
OK,2021-05-11,ANEB,7.0,7.1,7.0,7.08,146514.0,7.07,6.78
OK,2021-05-12,ANEB,7.0,7.09,6.97,7.0,47822.0,7.0,7.0
OK,2021-05-13,ANEB,7.0073,7.0299,7.0,7.0,12831.0,7.0,7.0073
OK,2021-05-14,ANEB,6.31,7.08,6.31,7.03,65170.0,7.03,6.31
OK,2021-05-17,ANEB,7.02,7.099,7.0,7.02,45009.0,7.02,7.02
OK,2021-05-18,ANEB,7.0101,7.1499,7.0,7.0,7644.0,7.0,7.0101
OK,2021-05-19,ANEB,7.15,7.15,7.0,7.1,18577.0,7.1,7.15
OK,2021-05-20,ANEB,7.0501,7.65,7.05,7.58,37631.0,7.63,7.0501
OK,2021-05-21,ANEB,7.6,9.33,7.47,8.95,85355.0,8.72,7.6
OK,2021-05-24,ANEB,8.91,9.0,7.68,8.0,79823.0,8.29,8.3858
OK,2021-05-25,ANEB,8.2,8.7889,8.01,8.03,11840.0,8.465,8.27
OK,2021-05-26,ANEB,8.1,8.1516,7.8901,8.0,22394.0,8.0,8.0301
OK,2021-05-27,ANEB,8.0,8.1,7.99,8.0,9482.0,8.01,8.0
OK,2021-05-28,ANEB,8.445,8.49,7.91,8.2,13099.0,8.2,8.445
OK,2021-06-01,ANEB,8.2,8.3,7.76,7.76,9146.0,7.76,8.2
OK,2021-06-02,ANEB,7.75,8.0,7.46,7.4835,8764.0,7.4835,7.75
OK,2021-06-03,ANEB,7.51,7.84,7.48,7.5,3011.0,7.55,7.51
OK,2021-06-04,ANEB,7.45,7.51,7.29,7.35,34789.0,7.35,7.45
OK,2021-06-07,ANEB,7.35,7.675,7.17,7.62,35892.0,7.62,7.35
OK,2021-06-08,ANEB,7.6,7.6,7.22,7.22,9711.0,7.22,7.6
OK,2021-06-09,ANEB,7.06,7.3,7.06,7.225,7114.0,7.22,7.22
OK,2021-06-10,ANEB,7.35,8.09,7.12,8.04,45105.0,8.04,7.35
OK,2021-06-11,ANEB,7.88,8.25,7.5087,8.25,12007.0,8.25,7.88
OK,2021-06-14,ANEB,8.1,8.475,7.59,8.2,16421.0,8.2,8.1
OK,2021-06-15,ANEB,8.03,8.6988,7.55,7.63,27537.0,7.61,8.03
OK,2021-06-16,ANEB,8.0,8.165,7.54,7.63,16963.0,7.63,8.0
OK,2021-06-17,ANEB,7.77,8.085,7.51,7.58,23302.0,7.85,7.77
OK,2021-06-18,ANEB,7.7,8.49,6.55,7.3,90437.0,7.3,7.7
OK,2021-06-21,ANEB,7.32,7.7,6.65,7.3,66437.0,7.34,7.32
OK,2021-06-22,ANEB,7.31,7.63,6.685,6.95,7013.0,6.71,7.31
OK,2021-06-23,ANEB,7.03,7.56,6.87,6.93,2407.0,6.91,7.03
OK,2021-06-24,ANEB,7.0425,7.45,7.0425,7.05,2540.0,7.05,7.0425
OK,2021-06-25,ANEB,7.14,7.19,7.09,7.19,10307.0,7.19,7.14
OK,2021-06-28,ANEB,7.11,7.3,6.95,6.95,3963.0,7.105,7.11
OK,2021-06-29,ANEB,6.96,6.97,6.58,6.58,10164.0,6.58,6.96
OK,2021-06-30,ANEB,6.79,7.0808,6.79,6.82,1800.0,6.82,6.79
OK,2021-07-01,ANEB,6.7621,7.0,6.75,6.86,5191.0,7.0,6.7621
OK,2021-07-02,ANEB,6.91,6.91,6.57,6.57,4935.0,6.57,6.91
OK,2021-07-06,ANEB,6.9,6.9,6.6532,6.7,5348.0,6.7,6.9
OK,2021-07-07,ANEB,6.905,7.56,6.61,7.18,23243.0,7.24,6.905
OK,2021-07-08,ANEB,6.75,7.5198,6.75,7.05,7846.0,7.0501,6.75
