status,from,symbol,open,high,low,close,volume,afterHours,preMarket
OK,2019-06-28,MAS,38.99,39.48,38.99,39.24,6766341.0,39.14,38.99
OK,2019-07-01,MAS,39.75,40.12,39.13,39.57,2817496.0,39.57,39.75
OK,2019-07-02,MAS,39.4,39.72,39.04,39.69,2375019.0,39.69,39.4
OK,2019-07-03,MAS,39.89,40.16,39.74,39.79,2206589.0,39.79,39.89
OK,2019-07-05,MAS,39.7,39.87,39.14,39.84,1481668.0,39.84,39.94
OK,2019-07-08,MAS,39.63,39.94,39.41,39.54,1743711.0,39.54,39.63
OK,2019-07-09,MAS,39.36,39.38,38.91,39.29,2103665.0,39.2,39.54
OK,2019-07-10,MAS,39.22,39.41,38.24,38.4,2925780.0,38.4,39.2
OK,2019-07-11,MAS,38.21,38.44,37.85,38.12,3453334.0,38.2,38.21
OK,2019-07-12,MAS,38.23,38.865,38.14,38.75,3104024.0,38.75,38.23
OK,2019-07-15,MAS,38.79,39.06,38.56,38.94,2039263.0,38.94,38.79
OK,2019-07-16,MAS,39.14,39.4475,39.03,39.4,2821615.0,39.4,39.26
OK,2019-07-17,MAS,39.34,39.34,38.61,38.63,2158594.0,38.63,39.34
OK,2019-07-18,MAS,38.36,38.42,37.67,38.21,4152682.0,38.21,38.27
OK,2019-07-19,MAS,38.39,38.565,37.83,37.85,3169004.0,37.85,38.39
OK,2019-07-22,MAS,37.85,37.9899,37.34,37.57,3464541.0,37.57,37.85
OK,2019-07-23,MAS,37.85,38.66,37.78,38.6,2636318.0,38.6,37.85
OK,2019-07-24,MAS,38.31,39.5,38.1,39.2,5097475.0,39,38.6
OK,2019-07-25,MAS,41,42.58,40.45,42.38,7123321.0,42.22,39.41
OK,2019-07-26,MAS,41.17,42.19,41.17,41.5,3616685.0,41.5,42.22
OK,2019-07-29,MAS,41.5,41.71,40.63,40.78,2204320.0,40.78,41.45
OK,2019-07-30,MAS,40.38,41.57,40.1925,41.56,2380793.0,41.68,40.38
OK,2019-07-31,MAS,41.54,41.69,40.28,40.77,2676158.0,40.77,41.54
OK,2019-08-01,MAS,40.8,41.265,39.1,39.16,4284470.0,39.16,40.8
OK,2019-08-02,MAS,39.09,40.08,38.85,39.97,3474723.0,39.97,39.19
OK,2019-08-05,MAS,39.37,39.7,38.18,38.7,3587879.0,38.7,39.28
OK,2019-08-06,MAS,38.93,39.55,38.51,39.51,2400787.0,39.51,38.93
OK,2019-08-07,MAS,38.85,39.26,38.48,39.15,3608161.0,39.15,38.85
OK,2019-08-08,MAS,39.39,39.955,39.38,39.83,2696356.0,39.83,39.39
OK,2019-08-09,MAS,39.52,39.57,38.95,39.16,1894061.0,39.16,39.52
OK,2019-08-12,MAS,38.91,39.15,38.74,38.845,1464803.0,38.85,38.91
