status,from,symbol,open,high,low,close,volume,afterHours,preMarket
OK,2019-06-28,IAC,217.91,220.6,216.01,217.53,1360138.0,217.53,217.91
OK,2019-07-01,IAC,220.69,224.945,219.57,222.04,443265.0,222.04,220.69
OK,2019-07-02,IAC,222.38,224.855,218.95,224.59,551694.0,224.59,222.38
OK,2019-07-03,IAC,225.0,228.38,224.71,227.1,242696.0,227.1,225.0
OK,2019-07-05,IAC,226.0,229.11,224.35,227.66,505237.0,227.66,226.0
OK,2019-07-08,IAC,226.02,227.84,224.67,226.0,320041.0,226.0,226.02
OK,2019-07-09,IAC,225.73,230.01,225.73,228.66,491546.0,228.66,225.73
OK,2019-07-10,IAC,229.27,232.91,228.8529,232.2,408529.0,232.2,229.27
OK,2019-07-11,IAC,233.3,234.73,229.79,230.34,374796.0,232.9,233.3
OK,2019-07-12,IAC,231.66,233.25,229.66,232.13,458854.0,232.13,231.66
OK,2019-07-15,IAC,232.14,234.43,231.42,234.16,200898.0,234.16,232.14
OK,2019-07-16,IAC,233.09,236.13,230.95,231.39,407758.0,231.39,233.09
OK,2019-07-17,IAC,232.37,235.11,230.34,232.54,486071.0,232.54,232.37
OK,2019-07-18,IAC,231.88,240.63,231.88,238.96,724743.0,238.96,233.06
OK,2019-07-19,IAC,240.6,244.87,238.16,238.22,570323.0,238.22,240.6
OK,2019-07-22,IAC,239.86,243.11,238.47,240.85,424121.0,240.85,239.86
OK,2019-07-23,IAC,242.69,242.69,237.685,240.54,339848.0,240.54,242.7
OK,2019-07-24,IAC,240.11,244.69,240.0,244.31,381678.0,244.31,240.02
OK,2019-07-25,IAC,244.28,245.23,241.47,243.35,446124.0,243.35,244.28
OK,2019-07-26,IAC,245.37,246.55,242.71,244.38,324774.0,246.92,245.23
OK,2019-07-29,IAC,244.01,244.93,240.31,243.0,283083.0,243.0,244.01
OK,2019-07-30,IAC,242.0,242.6,239.19,239.9,413169.0,239.9,242.0
OK,2019-07-31,IAC,240.32,242.21,237.02,239.05,371522.0,239.05,240.32
OK,2019-08-01,IAC,238.34,244.599,238.34,238.74,728549.0,238.74,239.0
OK,2019-08-02,IAC,238.29,242.69,235.47,236.77,770103.0,236.77,238.29
OK,2019-08-05,IAC,232.39,233.99,224.67,228.31,812164.0,225.0,233.0
OK,2019-08-06,IAC,230.41,234.71,230.34,233.18,645692.0,260.0,230.41
OK,2019-08-07,IAC,256.72,268.72,244.56,258.28,1781377.0,259.0,256.14
OK,2019-08-08,IAC,249.25,259.99,246.3101,256.82,2085125.0,256.82,257.94
OK,2019-08-09,IAC,261.68,262.1,248.55,254.46,986917.0,256.02,261.68
OK,2019-08-12,IAC,254.86,254.86,241.6208,245.03,1123931.0,245.03,254.86
OK,2019-08-13,IAC,242.55,249.71,239.015,239.58,1291697.0,239.58,242.68
OK,2019-08-14,IAC,236.06,240.69,233.54,240.36,768869.0,240.36,236.06
OK,2019-08-15,IAC,239.98,246.51,238.0,245.0,834486.0,245.0,239.98
OK,2019-08-16,IAC,245.96,250.33,245.03,249.17,637030.0,249.17,245.96
OK,2019-08-19,IAC,252.71,252.71,244.43,249.79,1002383.0,249.79,252.04
OK,2019-08-20,IAC,249.47,254.28,247.95,253.0,825052.0,256.0,249.47
OK,2019-08-21,IAC,255.6,260.38,254.43,259.07,1047452.0,259.07,255.99
OK,2019-08-22,IAC,259.69,261.74,256.85,260.66,698116.0,260.66,259.72
OK,2019-08-23,IAC,259.13,262.9,255.51,255.88,834656.0,256.0,257.48
OK,2019-08-26,IAC,259.33,259.4589,251.55,254.99,1030599.0,255.03,259.33
OK,2019-08-27,IAC,257.2,259.54,251.91,253.07,868512.0,253.07,257.2
OK,2019-08-28,IAC,252.86,254.06,249.05,252.95,581788.0,252.95,252.86
OK,2019-08-29,IAC,254.52,256.26,251.03,254.26,638441.0,254.26,254.52
OK,2019-08-30,IAC,256.33,257.41,252.12,254.64,724909.0,254.64,256.33
OK,2019-09-03,IAC,252.73,258.25,251.97,254.29,1003723.0,254.29,252.73
OK,2019-09-04,IAC,256.0,257.32,253.09,255.09,504038.0,255.09,256.0
OK,2019-09-05,IAC,257.76,259.39,240.11,244.89,1508960.0,244.89,257.76
OK,2019-09-06,IAC,245.0,248.15,243.12,244.79,677531.0,244.5,245.03
OK,2019-09-09,IAC,245.88,245.88,235.21,237.0,707885.0,237.0,245.68
OK,2019-09-10,IAC,235.54,237.43,229.925,230.92,849569.0,230.92,235.54
OK,2019-09-11,IAC,230.81,236.16,228.18,229.24,680800.0,229.24,230.81
OK,2019-09-12,IAC,230.15,234.65,229.88,229.96,505340.0,230.0,230.56
OK,2019-09-13,IAC,228.44,229.9967,227.02,227.39,498567.0,227.39,228.44
OK,2019-09-16,IAC,225.78,229.68,224.82,229.23,568366.0,229.23,225.78
OK,2019-09-17,IAC,232.53,238.08,231.02,236.59,865101.0,236.59,235.0
OK,2019-09-18,IAC,237.69,237.69,229.21,233.25,835204.0,233.25,237.69
OK,2019-09-19,IAC,233.16,235.54,231.74,233.01,742427.0,233.01,233.22
OK,2019-09-20,IAC,234.75,235.19,230.54,230.95,1124105.0,230.95,234.75
OK,2019-09-23,IAC,231.58,233.86,229.7,232.44,697670.0,232.44,231.58
OK,2019-09-24,IAC,233.49,236.57,222.89,224.55,1453065.0,224.6,233.49
OK,2019-09-25,IAC,225.65,228.63,210.32,220.49,2019366.0,220.49,225.65
OK,2019-09-26,IAC,219.48,223.16,218.8,221.88,1015345.0,221.88,221.01
OK,2019-09-27,IAC,224.48,225.4,217.92,220.08,1241497.0,220.08,224.3
OK,2019-09-30,IAC,221.26,221.685,215.9,217.97,1472107.0,217.97,221.25
OK,2019-10-01,IAC,217.37,221.333,216.76,218.4,777273.0,218.4,217.54
OK,2019-10-02,IAC,216.89,217.31,213.55,217.01,637386.0,217.01,216.89
OK,2019-10-03,IAC,217.12,222.9,215.07,221.09,979480.0,221.09,217.12
OK,2019-10-04,IAC,221.66,224.91,219.83,221.1,850983.0,221.1,221.09
OK,2019-10-07,IAC,225.51,228.61,222.85,227.42,997668.0,227.42,223.0
OK,2019-10-08,IAC,222.42,226.13,220.89,222.27,699645.0,222.27,222.42
OK,2019-10-09,IAC,222.8,227.34,221.23,225.17,508509.0,225.17,222.8
OK,2019-10-10,IAC,224.56,229.21,222.43,225.07,708086.0,225.07,227.99
OK,2019-10-11,IAC,238.45,239.0,226.18,227.03,2175865.0,227.03,229.0
OK,2019-10-14,IAC,227.02,229.17,223.76,226.51,589826.0,226.51,227.02
OK,2019-10-15,IAC,226.51,230.73,225.08,229.88,676698.0,229.87,226.51
OK,2019-10-16,IAC,228.12,232.74,226.0301,232.14,597472.0,232.2399,228.18
OK,2019-10-17,IAC,233.62,233.62,230.505,231.63,491556.0,231.63,233.62
OK,2019-10-18,IAC,231.01,231.945,221.68,221.85,762904.0,221.85,231.01
OK,2019-10-21,IAC,224.49,226.82,221.27,225.39,897333.0,225.39,223.3
OK,2019-10-22,IAC,226.08,226.08,221.05,222.01,695508.0,222.01,226.08
OK,2019-10-23,IAC,221.87,226.49,221.13,223.88,815734.0,223.88,222.01
OK,2019-10-24,IAC,225.59,228.86,225.0,226.46,582021.0,226.46,225.59
OK,2019-10-25,IAC,226.51,229.14,226.3311,226.83,534798.0,226.83,226.51
OK,2019-10-28,IAC,226.85,229.19,224.74,227.55,710050.0,227.55,226.85
OK,2019-10-29,IAC,226.99,230.0,224.47,224.61,395145.0,224.75,226.99
