status,from,symbol,open,high,low,close,volume,afterHours,preMarket
OK,2019-06-28,TMUS,73.29,74.49,72.9,74.14,4117804.0,74.15,73.29
OK,2019-07-01,TMUS,74.67,74.67,73.92,74.15,2230467.0,74.15,74.635
OK,2019-07-02,TMUS,74.4,75.78,73.92,75.48,2871718.0,75.48,74.4
OK,2019-07-03,TMUS,75.89,77.03,75.595,75.82,2080940.0,75.82,75.89
OK,2019-07-05,TMUS,75.83,76.43,75.63,76.23,1318543.0,76.23,75.65
OK,2019-07-08,TMUS,76.37,76.39,75.43,75.63,1667326.0,75.63,76.25
OK,2019-07-09,TMUS,75.35,75.825,75.075,75.15,3552972.0,78,75.35
OK,2019-07-10,TMUS,77.96,78.95,77.57,78.63,14441239.0,78.35,78
OK,2019-07-11,TMUS,78.73,78.88,76.95,78.26,10089035.0,78.26,79
OK,2019-07-12,TMUS,78.2,79.73,78.01,79.45,63068445.0,79.25,78.33
OK,2019-07-15,TMUS,79.67,80,78.59,79.31,6189822.0,79.31,79.63
OK,2019-07-16,TMUS,79.35,79.59,78.83,79.04,5234911.0,79.04,79.35
OK,2019-07-17,TMUS,79.23,79.455,78.9,78.93,3238346.0,78.57,79.15
OK,2019-07-18,TMUS,78.78,79.07,77.2687,77.97,6471681.0,77.42,79
OK,2019-07-19,TMUS,77.99,77.99,76.935,77.43,5311849.0,77.49,77.8
OK,2019-07-22,TMUS,77.8,78.66,77.27,77.66,4695214.0,77.45,77.6
OK,2019-07-23,TMUS,77.74,78.16,76.95,78.14,3507825.0,78.14,77.77
OK,2019-07-24,TMUS,79.2,81.57,78.8281,80.61,10198421.0,81.37,79.06
OK,2019-07-25,TMUS,81.36,81.41,79.71,79.91,5501803.0,80,81.88
OK,2019-07-26,TMUS,81.1,85.22,80.95,84.25,12333212.0,84.35,80.5
OK,2019-07-29,TMUS,84.63,84.79,81.92,82.38,5858850.0,83,84.6
OK,2019-07-30,TMUS,81.7,82.33,81.02,81.3,5285021.0,81.1,82.38
OK,2019-07-31,TMUS,81.22,81.65,78.95,79.73,4596590.0,79.73,81.01
OK,2019-08-01,TMUS,79.99,80.31,78.77,79.31,4761361.0,79.31,80
OK,2019-08-02,TMUS,79.39,79.39,76.79,77.73,5428007.0,77.73,79.19
OK,2019-08-05,TMUS,76.85,76.93,75.62,76.19,4046241.0,75,77.43
OK,2019-08-06,TMUS,76.51,77.32,75.97,77.28,4010398.0,77.28,76.31
OK,2019-08-07,TMUS,76.49,76.8,75.27,76.48,3492699.0,76.15,75.54
OK,2019-08-08,TMUS,76.94,78.06,76.83,77.9,3023432.0,77.42,76.67
OK,2019-08-09,TMUS,77.6,78.21,77.01,77.52,2698629.0,77.6,76.4165
OK,2019-08-12,TMUS,77.07,77.615,76.77,76.94,1888186.0,76.94,78.46
OK,2019-08-13,TMUS,76.93,78.26,76.78,77.62,2559772.0,77.62,76.7196
OK,2019-08-14,TMUS,76.77,77.38,76.1125,76.93,2900750.0,75,77.62
OK,2019-08-15,TMUS,76.47,77.8,76.2,77.27,2597687.0,77.27,76.42
